ième partie,n_tours,temps_ms,scores[0],scores[1],victoires
1,2,0.06,4,4,0.500000
2,5,0.04,10,10,0.500000
3,6,0.06,10,10,0.500000
4,6,0.07,10,8,0.000000
5,1,0.01,0,0,0.500000
6,5,0.05,7,4,0.000000
7,10,0.07,20,20,0.500000
8,9,0.06,18,18,0.500000
9,3,0.01,1,0,0.000000
10,6,0.06,12,12,0.500000
11,10,0.04,20,20,0.500000
12,7,0.01,14,14,0.500000
13,1,0.03,2,2,0.500000
14,10,0.07,17,14,0.000000
15,1,0.01,2,2,0.500000
16,5,0.05,10,10,0.500000
17,1,0.04,2,2,0.500000
18,6,0.04,12,12,0.500000
19,7,0.04,8,8,0.500000
20,3,0.02,6,6,0.500000
21,3,0.01,4,2,0.000000
22,2,0.01,4,4,0.500000
23,5,0.03,5,4,0.000000
24,9,0.02,18,18,0.500000
25,3,0.05,5,4,0.000000
26,1,0.04,2,2,0.500000
27,10,0.06,20,20,0.500000
28,5,0.05,7,4,0.000000
29,6,0.04,7,2,0.000000
30,9,0.05,18,18,0.500000
31,8,0.04,16,16,0.500000
32,7,0.07,12,10,0.000000
33,5,0.03,3,2,0.000000
34,9,0.03,12,8,0.000000
35,7,0.03,14,14,0.500000
36,8,0.04,10,4,0.000000
37,6,0.02,10,8,0.000000
38,8,0.04,16,16,0.500000
39,9,0.03,15,12,0.000000
40,3,0.03,6,6,0.500000
41,7,0.03,12,10,0.000000
42,9,0.03,18,18,0.500000
43,9,0.03,18,18,0.500000
44,2,0.03,2,2,0.500000
45,8,0.03,14,12,0.000000
46,3,0.03,6,6,0.500000
47,9,0.03,18,18,0.500000
48,2,0.03,4,4,0.500000
49,4,0.03,7,6,0.000000
50,4,0.03,8,8,0.500000
51,2,0.01,2,2,0.500000
52,9,0.06,16,16,0.500000
53,8,0.01,16,16,0.500000
54,1,0.03,2,2,0.500000
55,5,0.03,10,10,0.500000
56,1,0.03,2,2,0.500000
57,2,0.03,0,0,0.500000
58,8,0.03,15,14,0.000000
59,10,0.03,16,12,0.000000
60,4,0.04,7,6,0.000000
61,2,0.02,0,0,0.500000
62,9,0.03,18,18,0.500000
63,4,0.04,6,4,0.000000
64,4,0.01,8,8,0.500000
65,7,0.03,13,12,0.000000
66,1,0.03,2,2,0.500000
67,2,0.03,3,2,0.000000
68,9,0.04,14,10,0.000000
69,6,0.03,12,12,0.500000
70,10,0.04,20,20,0.500000
71,8,0.03,16,16,0.500000
72,1,0.03,2,2,0.500000
73,8,0.01,16,16,0.500000
74,3,0.03,5,4,0.000000
75,1,0.01,2,2,0.500000
76,7,0.07,12,10,0.000000
77,7,0.04,10,8,0.000000
78,4,0.03,8,8,0.500000
79,5,0.03,10,10,0.500000
80,1,0.03,2,2,0.500000
81,3,0.01,5,4,0.000000
82,1,0.03,2,2,0.500000
83,4,0.04,8,8,0.500000
84,5,0.06,10,10,0.500000
85,2,0.04,4,4,0.500000
86,5,0.02,10,10,0.500000
87,10,0.06,19,18,0.000000
88,10,0.07,17,16,0.000000
89,8,0.05,13,12,0.000000
90,10,0.06,20,20,0.500000
91,7,0.07,13,12,0.000000
92,4,0.07,8,8,0.500000
93,9,0.07,18,18,0.500000
94,8,0.05,15,14,0.000000
95,4,0.04,6,4,0.000000
96,7,0.04,14,14,0.500000
97,2,0.01,4,4,0.500000
98,1,0.04,2,2,0.500000
99,9,0.05,14,14,0.500000
100,5,0.06,9,8,0.000000
